id,route,area,type,purpose,orientation,aspectRatio,focalPoint,recommendedResolution,framing,formats,priority,status,expectedSourceFile,loading,altGuidance,consentRequired
"bjj.hero","/jiu-jitsu-bresilien","Hero","image","Présenter le JJB comme une pratique technique, accessible et exigeante.","Paysage","3:2","Coach et binôme en démonstration","3600×2400 minimum","Plan large immersif avec espace de titre","JPEG source, AVIF et WebP générés","P0","awaiting-authentic","bjj-hero-authentic.jpg","eager","Cours de Jiu-Jitsu Brésilien chez Strongbear à Marines","true"
"bjj.technique","/jiu-jitsu-bresilien","Technique","image","Montrer la précision d’une position ou d’un contrôle.","Paysage","3:2","Mains, appuis et regard du coach","3000×2000 minimum","Angle trois-quarts, action lisible, pas de cadrage ambigu","JPEG source, AVIF et WebP générés","P0","awaiting-authentic","bjj-technique.jpg","lazy","Démonstration d’une technique de JJB par un coach Strongbear","true"
"bjj.rolling","/jiu-jitsu-bresilien","Rolling","image","Montrer une opposition contrôlée et attentive.","Paysage","16:9","Deux partenaires et espace de sécurité","3200×1800 minimum","Expression concentrée, geste propre, aucun visage écrasé en gros plan","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","bjj-rolling.jpg","lazy","Deux partenaires pratiquant un rolling contrôlé en JJB","true"
"bjj.teaching","/jiu-jitsu-bresilien","Pédagogie","image","Rendre visible la relation d’enseignement.","Portrait","4:5","Coach expliquant à un débutant","2400×3000 minimum","Proximité naturelle, écoute, gestes ouverts","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","bjj-teaching.jpg","lazy","Coach Strongbear accompagnant un débutant en JJB","true"
"bjj.warmup","/jiu-jitsu-bresilien","Déroulé du cours","image","Illustrer la préparation progressive du corps.","Paysage","3:2","Groupe en mouvement coordonné","3000×2000 minimum","Rythme collectif, espace et respiration","JPEG source, AVIF et WebP générés","P2","awaiting-authentic","bjj-warmup.jpg","lazy","Échauffement collectif avant un cours de JJB","true"
"bjj.community","/jiu-jitsu-bresilien","Communauté","image","Montrer les échanges qui entourent la pratique.","Paysage","3:2","Sourires et conversation en bord de tatami","3000×2000 minimum","Moment pris sur le vif avant ou après le cours","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","bjj-community.jpg","lazy","Pratiquants de JJB échangeant après le cours","true"
"bjj.competition","/jiu-jitsu-bresilien","Compétition","image","Documenter un projet compétition réel et datable.","Paysage","3:2","Coach et compétiteur dans un moment de préparation","3000×2000 minimum","Contexte événementiel identifiable, émotion maîtrisée","JPEG source, AVIF et WebP générés","P2","awaiting-authentic","bjj-competition.jpg","lazy","Coach Strongbear accompagnant un compétiteur de JJB","true"
"grappling.hero","/grappling","Hero","image","Présenter la fluidité et la mobilité du Grappling sans kimono.","Paysage","3:2","Transition dynamique lisible","3600×2400 minimum","Plan large, mouvement net, zone de titre calme","JPEG source, AVIF et WebP générés","P0","awaiting-authentic","grappling-hero.jpg","eager","Cours de Grappling chez Strongbear à Marines","true"
"grappling.takedown","/grappling","Amenées au sol","image","Montrer une entrée ou projection techniquement contrôlée.","Paysage","16:9","Appuis des deux partenaires","3200×1800 minimum","Phase avant impact, tapis dégagé, coach visible si possible","JPEG source, AVIF et WebP générés","P0","awaiting-authentic","grappling-takedown.jpg","lazy","Exercice d’amenée au sol en Grappling","true"
"grappling.control","/grappling","Contrôle","image","Expliquer le contrôle plutôt que la force brute.","Paysage","3:2","Position des hanches et des appuis","3000×2000 minimum","Angle légèrement surélevé, silhouettes séparées","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","grappling-control.jpg","lazy","Travail de contrôle au sol en Grappling","true"
"grappling.rolling","/grappling","Opposition","image","Montrer une opposition fluide et contrôlée.","Paysage","16:9","Transition entre deux positions","3200×1800 minimum","Vitesse perceptible sans flou excessif","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","grappling-rolling.jpg","lazy","Deux partenaires en opposition contrôlée de Grappling","true"
"grappling.teaching","/grappling","Pédagogie","image","Montrer la décomposition d’un mouvement sans kimono.","Portrait","4:5","Coach et partenaire de démonstration","2400×3000 minimum","Geste lisible, élèves en arrière-plan","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","grappling-teaching.jpg","lazy","Coach Strongbear enseignant une technique de Grappling","true"
"grappling.community","/grappling","Communauté","image","Montrer la variété des profils réunis par la pratique.","Paysage","3:2","Petit groupe après l’exercice","3000×2000 minimum","Interaction spontanée, diversité réelle","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","grappling-community.jpg","lazy","Groupe de pratiquants de Grappling chez Strongbear","true"
"grappling.competition","/grappling","Compétition","image","Documenter un événement de Grappling vérifié.","Paysage","3:2","Préparation ou échange avec le coach","3000×2000 minimum","Contexte reconnaissable, résultat non surjoué","JPEG source, AVIF et WebP générés","P2","awaiting-authentic","grappling-competition.jpg","lazy","Participation Strongbear à une compétition de Grappling","true"
"mma.hero","/mma","Hero","image","Présenter le MMA comme une discipline complète, progressive et encadrée.","Paysage","3:2","Coach corrigeant une combinaison contrôlée","3600×2400 minimum","Plan large, protections visibles, aucune mise en scène agressive","JPEG source, AVIF et WebP générés","P0","temporary-active","mma-training.jpg","eager","Exercice technique encadré pendant un cours de MMA Strongbear","true"
"mma.striking","/mma","Travail debout","image","Montrer la précision, les protections et le contrôle de l’intensité.","Paysage","16:9","Pattes d’ours, regard et garde","3200×1800 minimum","Exercice guidé, contact léger, coach ou partenaire actif","JPEG source, AVIF et WebP générés","P0","awaiting-authentic","mma-striking-drill.jpg","lazy","Exercice technique de frappe encadré en MMA","true"
"mma.clinch","/mma","Corps à corps","image","Illustrer le travail de clinch comme une compétence technique.","Paysage","3:2","Placement des bras et équilibre","3000×2000 minimum","Angle trois-quarts, visages calmes","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","mma-clinch.jpg","lazy","Travail technique de clinch pendant un cours de MMA","true"
"mma.transition","/mma","Transitions","image","Montrer le lien entre les distances debout et au sol.","Paysage","16:9","Phase de transition contrôlée","3200×1800 minimum","Action nette, espace de sécurité, pas d’impact spectaculaire","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","mma-transition.jpg","lazy","Transition technique du debout au sol en MMA","true"
"mma.ground","/mma","Travail au sol","image","Montrer l’intégration du contrôle au sol dans le MMA.","Paysage","3:2","Position et consignes du coach","3000×2000 minimum","Exercice situationnel sans coups portés au visage","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","mma-ground.jpg","lazy","Exercice situationnel au sol pendant un cours de MMA","true"
"mma.teaching","/mma","Pédagogie","image","Rassurer les débutants sur l’encadrement.","Portrait","4:5","Coach corrigeant un détail","2400×3000 minimum","Interaction calme, protections propres, lumière naturelle","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","mma-teaching.jpg","lazy","Coach Strongbear accompagnant un débutant en MMA","true"
"mma.controlled-sparring","/mma","Opposition encadrée","image","Montrer que l’intensité est maîtrisée et les protections utilisées.","Paysage","16:9","Distance et contrôle entre partenaires","3200×1800 minimum","Équipement visible, geste retenu, pas d’impact brutal","JPEG source, AVIF et WebP générés","P2","awaiting-authentic","mma-controlled-sparring.jpg","lazy","Opposition encadrée avec protections pendant un cours de MMA","true"
"mma.community","/mma","Communauté","image","Contredire les clichés agressifs par un moment d’équipe réel.","Paysage","3:2","Sourires après le cours","3000×2000 minimum","Groupe détendu, aucune pose de combat","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","mma-community.jpg","lazy","Pratiquants de MMA Strongbear réunis après le cours","true"
"kids.hero","/kids","Hero","image","Rassurer immédiatement les parents par une interaction positive entre coach et enfants.","Paysage","3:2","Sourire de l’enfant et regard du coach","3600×2400 minimum","À hauteur d’enfant, lumière naturelle, groupe visible sans chaos","JPEG source, AVIF et WebP générés","P0","temporary-active","kids-hero.webp","eager","Coach Strongbear accompagnant des enfants pendant un exercice","true"
"kids.coach-interaction","/kids","Pédagogie","image","Montrer l’écoute, la sécurité et l’encouragement positif.","Portrait","4:5","Coach accroupi à hauteur d’enfant","2400×3000 minimum","Expression ouverte, distance respectueuse, aucun geste autoritaire","JPEG source, AVIF et WebP générés","P0","awaiting-authentic","kids-coach-interaction.jpg","lazy","Coach Strongbear expliquant un exercice à un enfant","true"
"kids.learning","/kids","Apprentissage","image","Illustrer la progression technique adaptée à l’âge.","Paysage","3:2","Binôme d’enfants et coach proche","3000×2000 minimum","Mouvement simple, espace sécurisé, visages lisibles","JPEG source, AVIF et WebP générés","P0","awaiting-authentic","kids-learning.jpg","lazy","Enfants répétant une technique adaptée sous la supervision du coach","true"
"kids.games","/kids","Apprendre par le jeu","image","Montrer le jeu comme outil pédagogique et non comme agitation.","Paysage","16:9","Enfants engagés dans une consigne ludique","3200×1800 minimum","Énergie positive, règles lisibles, coach en contrôle du groupe","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","kids-games.jpg","lazy","Jeu pédagogique pendant un cours Strongbear Kids","true"
"kids.smiles","/kids","Confiance","image","Montrer une émotion réelle après un petit succès.","Portrait","4:5","Sourire naturel de l’enfant","2400×3000 minimum","Moment spontané, pas de demande de pose prolongée","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","kids-smiles.jpg","lazy","Enfant souriant après un exercice réussi","true"
"kids.parents","/kids","Pour les parents","image","Montrer la transparence et la relation de confiance avec les familles.","Paysage","3:2","Parent observant ou échangeant avec le coach","3000×2000 minimum","Bord de tatami calme, enfant non identifiable si autorisation limitée","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","kids-parents.jpg","lazy","Parent échangeant avec un coach Strongbear après le cours Kids","true"
"kids.coordination","/kids","Bénéfices","image","Illustrer coordination et maîtrise de soi avec un exercice simple.","Paysage","3:2","Appuis et concentration de l’enfant","3000×2000 minimum","Corps entier, consigne visible, arrière-plan propre","JPEG source, AVIF et WebP générés","P2","awaiting-authentic","kids-coordination.jpg","lazy","Exercice de coordination pendant un cours Strongbear Kids","true"
"kids.group","/kids","Communauté Kids","image","Conclure sur l’appartenance, la diversité et le plaisir d’apprendre ensemble.","Paysage","16:9","Groupe et coachs sur une même ligne","3200×1800 minimum","Photo en fin de cours, expressions libres, pas de posture agressive","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","kids-group.jpg","lazy","Groupe Strongbear Kids et ses coachs après une séance","true"
"academy.article-hero","/academy/[category]/[slug]","Hero article","image","Introduire le sujet avec une photographie documentaire directement liée au contenu.","Paysage","3:2","Sujet principal dans le tiers central","3000×2000 minimum","Espace pour titre selon le gabarit, scène authentique et identifiable","JPEG source, AVIF et WebP générés","P0","awaiting-authentic","academy-{slug}-hero.jpg","eager","Description factuelle de la scène et de sa relation au sujet","true"
"academy.inline-wide","/academy/[category]/[slug]","Image éditoriale large","image","Clarifier une étape, une ambiance ou un contexte entre deux sections.","Paysage","16:9","Geste ou interaction correspondant au paragraphe","2560×1440 minimum","Composition simple, légende factuelle obligatoire","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","academy-{slug}-inline-01.jpg","lazy","Action précise montrée dans l’image","true"
"academy.inline-portrait","/academy/[category]/[slug]","Image éditoriale portrait","image","Créer un rythme magazine et isoler un détail humain.","Portrait","4:5","Visage, mains ou détail technique","2000×2500 minimum","Plan rapproché respectueux, contexte encore compréhensible","JPEG source, AVIF et WebP générés","P2","awaiting-authentic","academy-{slug}-inline-portrait.jpg","lazy","Détail humain ou technique visible dans l’image","true"
"academy.comparison-left","/academy/[category]/[slug]","Comparaison A","image","Présenter honnêtement le premier élément d’une comparaison.","Carré","1:1","Posture ou équipement distinctif","1800×1800 minimum","Angle et lumière identiques à l’image B","JPEG source, AVIF et WebP générés","P2","awaiting-authentic","academy-{slug}-comparison-a.jpg","lazy","Premier élément comparé, décrit sans jugement","true"
"academy.comparison-right","/academy/[category]/[slug]","Comparaison B","image","Présenter honnêtement le second élément d’une comparaison.","Carré","1:1","Posture ou équipement distinctif","1800×1800 minimum","Angle et lumière identiques à l’image A","JPEG source, AVIF et WebP générés","P2","awaiting-authentic","academy-{slug}-comparison-b.jpg","lazy","Second élément comparé, décrit sans jugement","true"
"academy.tip-bear","/academy/[category]/[slug]","Encadré conseil","illustration","Signer un conseil ou une astuce sans remplacer la photographie.","Carré","1:1","Ours Strongbear simple et calme","1600×1600 minimum","Une action lisible, palette noire, crème et or, aucun texte intégré","PNG transparent source, WebP et AVIF générés","P2","awaiting-authentic","academy-tip-bear.png","lazy","Illustration décorative Strongbear liée au conseil","false"
"academy.category-cover","/academy/[category]","Couverture de collection","image","Donner une identité éditoriale cohérente à chaque collection.","Paysage","3:2","Sujet représentatif de la catégorie","3000×2000 minimum","Image documentaire avec espace pour le titre","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","academy-{category}-cover.jpg","lazy","Scène représentative de la collection Academy","true"
